File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD15A2H_006_LaiStdDev_500m_doy2000153_aid0001,LaiStdDev_500m,aid0001,2000-06-01,33444167.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3132,0.3558,0.1266,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000161_aid0001,LaiStdDev_500m,aid0001,2000-06-09,31086152.0,0.0,2.2,"(0.0,2.2)",0.2766,0.3277,0.1074,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000169_aid0001,LaiStdDev_500m,aid0001,2000-06-17,32238843.0,0.0,2.4,"(0.0,2.4000000000000004)",0.2936,0.3388,0.1148,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000177_aid0001,LaiStdDev_500m,aid0001,2000-06-25,31939066.0,0.0,2.3,"(0.0,2.3000000000000003)",0.309,0.3451,0.1191,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000185_aid0001,LaiStdDev_500m,aid0001,2000-07-03,32724547.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3308,0.3525,0.1242,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000193_aid0001,LaiStdDev_500m,aid0001,2000-07-11,33074615.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3384,0.3589,0.1288,0.4,0.8,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000201_aid0001,LaiStdDev_500m,aid0001,2000-07-19,32196060.0,0.0,2.3,"(0.0,2.3000000000000003)",0.321,0.3487,0.1216,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000209_aid0001,LaiStdDev_500m,aid0001,2000-07-27,31560790.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3069,0.3356,0.1127,0.3,0.6,0.2,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000217_aid0001,LaiStdDev_500m,aid0001,2000-08-04,14432469.0,0.0,2.3,"(0.0,2.3000000000000003)",0.2381,0.3282,0.1077,0.2,0.3,0.1,0.0,0.1
MOD15A2H_006_LaiStdDev_500m_doy2000225_aid0001,LaiStdDev_500m,aid0001,2000-08-12,25923530.0,0.0,2.3,"(0.0,2.3000000000000003)",0.2215,0.2847,0.0811,0.2,0.3,0.1,0.0,0.1
