File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD15A2H_006_LaiStdDev_500m_doy2002185_aid0001,LaiStdDev_500m,aid0001,2002-07-04,33267858.0,0.0,2.2,"(0.0,2.2)",0.3235,0.358,0.1282,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002193_aid0001,LaiStdDev_500m,aid0001,2002-07-12,32630400.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3153,0.3458,0.1196,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002201_aid0001,LaiStdDev_500m,aid0001,2002-07-20,32309805.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3058,0.3436,0.1181,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002209_aid0001,LaiStdDev_500m,aid0001,2002-07-28,22036301.0,0.0,2.2,"(0.0,2.2)",0.2288,0.2892,0.0836,0.2,0.3,0.1,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002217_aid0001,LaiStdDev_500m,aid0001,2002-08-05,33051674.0,0.0,2.4,"(0.0,2.4000000000000004)",0.3153,0.365,0.1332,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002225_aid0001,LaiStdDev_500m,aid0001,2002-08-13,33233510.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3098,0.354,0.1253,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002233_aid0001,LaiStdDev_500m,aid0001,2002-08-21,33504068.0,0.0,2.4,"(0.0,2.4000000000000004)",0.3096,0.3651,0.1333,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2002241_aid0001,LaiStdDev_500m,aid0001,2002-08-29,34076033.0,0.0,2.3,"(0.0,2.3000000000000003)",0.3174,0.3867,0.1496,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2003153_aid0001,LaiStdDev_500m,aid0001,2003-06-02,31923128.0,0.0,2.3,"(0.0,2.3000000000000003)",0.2785,0.3229,0.1042,0.3,0.6,0.2,0.0,0.1
MYD15A2H_006_LaiStdDev_500m_doy2003161_aid0001,LaiStdDev_500m,aid0001,2003-06-10,30741081.0,0.0,2.2,"(0.0,2.2)",0.2667,0.309,0.0955,0.3,0.6,0.2,0.0,0.1
