File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A1_006_LST_Day_1km_doy2000153_aid0001,LST_Day_1km,aid0001,2000-06-01,5299053.0,265.02,338.86,"(265.02,338.86)",305.8842,9.5068,90.3797,311.6,328.84,305.02,282.86,300.1
MOD11A1_006_LST_Day_1km_doy2000154_aid0001,LST_Day_1km,aid0001,2000-06-02,4928154.0,263.6,338.68,"(263.6,338.68)",306.6929,10.0294,100.5893,313.06,332.64,305.28,280.42,300.0
MOD11A1_006_LST_Day_1km_doy2000155_aid0001,LST_Day_1km,aid0001,2000-06-03,5634621.0,267.94,337.68,"(267.94,337.68)",307.0286,10.7966,116.5662,315.34,337.68,306.62,273.94,298.78
MOD11A1_006_LST_Day_1km_doy2000156_aid0001,LST_Day_1km,aid0001,2000-06-04,4089682.0,266.2,342.5,"(266.2,342.5)",310.3082,11.9849,143.6376,320.1,342.5,309.54,272.74,301.14
MOD11A1_006_LST_Day_1km_doy2000157_aid0001,LST_Day_1km,aid0001,2000-06-05,4665312.0,268.54,338.2,"(268.54,338.2)",307.2102,9.6543,93.2045,314.34,335.3,306.86,279.4,300.36
MOD11A1_006_LST_Day_1km_doy2000158_aid0001,LST_Day_1km,aid0001,2000-06-06,6139047.0,259.84,341.5,"(259.84000000000003,341.5)",306.6661,10.2254,104.5589,314.5,337.66,303.64,275.9,299.06
MOD11A1_006_LST_Day_1km_doy2000159_aid0001,LST_Day_1km,aid0001,2000-06-07,6346460.0,268.62,338.62,"(268.62,338.62)",309.7165,8.8534,78.3829,316.58,337.82,309.94,281.18,302.42
MOD11A1_006_LST_Day_1km_doy2000160_aid0001,LST_Day_1km,aid0001,2000-06-08,5665066.0,267.56,335.9,"(267.56,335.90000000000003)",307.4863,7.8282,61.2813,313.18,329.82,306.52,285.44,302.08
MOD11A1_006_LST_Day_1km_doy2000161_aid0001,LST_Day_1km,aid0001,2000-06-09,4459727.0,261.72,333.98,"(261.72,333.98)",306.5574,7.0864,50.217,311.18,324.98,306.36,288.18,301.98
MOD11A1_006_LST_Day_1km_doy2000162_aid0001,LST_Day_1km,aid0001,2000-06-10,4809061.0,260.6,334.64,"(260.6,334.64)",308.75,7.9008,62.4232,314.9,332.24,307.46,286.0,303.34
MOD11A1_006_LST_Day_1km_doy2000163_aid0001,LST_Day_1km,aid0001,2000-06-11,4090361.0,254.22,337.98,"(254.22,337.98)",308.4173,8.8282,77.9375,314.46,332.58,307.06,284.26,302.38
MOD11A1_006_LST_Day_1km_doy2000164_aid0001,LST_Day_1km,aid0001,2000-06-12,3102151.0,264.9,343.56,"(264.9,343.56)",310.136,8.5758,73.5435,317.02,336.02,308.48,284.52,304.02
MOD11A1_006_LST_Day_1km_doy2000165_aid0001,LST_Day_1km,aid0001,2000-06-13,3871751.0,272.26,340.02,"(272.26,340.02)",309.6962,10.1745,103.5206,317.22,339.04,308.52,280.78,302.64
MOD11A1_006_LST_Day_1km_doy2000166_aid0001,LST_Day_1km,aid0001,2000-06-14,2260163.0,273.24,342.76,"(273.24,342.76)",311.6884,10.6167,112.7136,320.32,342.76,311.26,278.88,303.74
MOD11A1_006_LST_Day_1km_doy2000167_aid0001,LST_Day_1km,aid0001,2000-06-15,11811.0,274.22,297.92,"(274.22,297.92)",289.9059,2.3471,5.509,291.64,295.96,290.1,284.2,288.66
MOD11A1_006_LST_Day_1km_doy2000168_aid0001,LST_Day_1km,aid0001,2000-06-16,1197442.0,272.1,330.12,"(272.1,330.12)",307.7634,8.6148,74.2144,314.5,330.12,307.8,281.86,301.44
MOD11A1_006_LST_Day_1km_doy2000169_aid0001,LST_Day_1km,aid0001,2000-06-17,3221040.0,266.5,336.66,"(266.5,336.66)",305.6658,11.1329,123.9419,314.68,336.66,305.42,272.16,297.66
MOD11A1_006_LST_Day_1km_doy2000170_aid0001,LST_Day_1km,aid0001,2000-06-18,3497966.0,263.58,337.62,"(263.58,337.62)",305.3013,9.5136,90.5093,311.18,329.98,303.8,279.84,298.64
MOD11A1_006_LST_Day_1km_doy2000171_aid0001,LST_Day_1km,aid0001,2000-06-19,3457632.0,262.04,336.86,"(262.04,336.86)",305.2672,9.8464,96.9511,312.92,334.9,304.98,275.18,297.82
MOD11A1_006_LST_Day_1km_doy2000172_aid0001,LST_Day_1km,aid0001,2000-06-20,1839814.0,272.58,324.84,"(272.58,324.84000000000003)",300.5724,6.1439,37.7476,304.14,315.68,300.18,284.9,296.44
MOD11A1_006_LST_Day_1km_doy2000173_aid0001,LST_Day_1km,aid0001,2000-06-21,3552925.0,267.72,333.9,"(267.72,333.90000000000003)",306.8824,8.558,73.2392,313.84,333.9,306.42,280.0,300.3
MOD11A1_006_LST_Day_1km_doy2000174_aid0001,LST_Day_1km,aid0001,2000-06-22,5156772.0,265.3,339.4,"(265.3,339.40000000000003)",307.4766,9.5423,91.0553,314.66,334.72,305.84,281.22,301.28
MOD11A1_006_LST_Day_1km_doy2000175_aid0001,LST_Day_1km,aid0001,2000-06-23,4998374.0,266.08,338.78,"(266.08,338.78000000000003)",306.3933,8.9114,79.4129,312.42,330.42,305.06,282.42,300.42
MOD11A1_006_LST_Day_1km_doy2000176_aid0001,LST_Day_1km,aid0001,2000-06-24,5414195.0,266.54,336.24,"(266.54,336.24)",308.1393,9.2953,86.4023,315.48,336.24,307.04,280.28,301.4
MOD11A1_006_LST_Day_1km_doy2000177_aid0001,LST_Day_1km,aid0001,2000-06-25,4791394.0,272.94,341.26,"(272.94,341.26)",307.9331,9.2394,85.366,315.36,336.6,306.42,279.96,301.2
MOD11A1_006_LST_Day_1km_doy2000178_aid0001,LST_Day_1km,aid0001,2000-06-26,3602949.0,270.88,338.92,"(270.88,338.92)",307.1737,10.422,108.6173,315.82,338.92,306.62,273.14,298.66
MOD11A1_006_LST_Day_1km_doy2000180_aid0001,LST_Day_1km,aid0001,2000-06-28,4213239.0,272.64,340.6,"(272.64,340.6)",307.0559,9.8505,97.0326,314.3,336.8,306.56,276.82,299.3
MOD11A1_006_LST_Day_1km_doy2000181_aid0001,LST_Day_1km,aid0001,2000-06-29,4994610.0,269.14,343.7,"(269.14,343.7)",306.6094,10.3612,107.3539,314.32,337.14,303.48,276.32,299.1
MOD11A1_006_LST_Day_1km_doy2000182_aid0001,LST_Day_1km,aid0001,2000-06-30,5666084.0,272.72,339.32,"(272.72,339.32)",307.066,9.0329,81.5933,314.18,335.62,306.28,278.44,299.88
MOD11A1_006_LST_Day_1km_doy2000183_aid0001,LST_Day_1km,aid0001,2000-07-01,5592805.0,266.72,336.6,"(266.72,336.6)",306.8881,8.999,80.9817,313.62,333.56,305.12,280.38,300.32
MOD11A1_006_LST_Day_1km_doy2000184_aid0001,LST_Day_1km,aid0001,2000-07-02,3479473.0,268.74,343.22,"(268.74,343.22)",307.7923,9.9289,98.5822,315.92,339.16,306.18,276.32,300.08
MOD11A1_006_LST_Day_1km_doy2000185_aid0001,LST_Day_1km,aid0001,2000-07-03,4134833.0,272.3,337.2,"(272.3,337.2)",308.3883,8.7424,76.4302,315.3,335.24,307.66,282.06,302.0
MOD11A1_006_LST_Day_1km_doy2000186_aid0001,LST_Day_1km,aid0001,2000-07-04,4673133.0,271.7,336.98,"(271.7,336.98)",309.3205,8.6911,75.536,315.82,335.38,309.14,283.22,302.78
MOD11A1_006_LST_Day_1km_doy2000187_aid0001,LST_Day_1km,aid0001,2000-07-05,5764209.0,270.9,337.12,"(270.9,337.12)",308.7833,9.0857,82.5496,316.08,337.12,308.18,279.68,301.52
MOD11A1_006_LST_Day_1km_doy2000188_aid0001,LST_Day_1km,aid0001,2000-07-06,5825198.0,270.92,340.74,"(270.92,340.74)",309.085,8.7076,75.8216,315.64,334.44,308.38,284.3,303.1
MOD11A1_006_LST_Day_1km_doy2000189_aid0001,LST_Day_1km,aid0001,2000-07-07,6062455.0,271.94,342.96,"(271.94,342.96)",307.2401,8.9193,79.5542,314.56,336.38,306.82,277.96,299.92
MOD11A1_006_LST_Day_1km_doy2000190_aid0001,LST_Day_1km,aid0001,2000-07-08,6051206.0,276.02,335.86,"(276.02,335.86)",307.3349,8.1046,65.6848,312.66,328.46,306.52,286.32,302.12
MOD11A1_006_LST_Day_1km_doy2000191_aid0001,LST_Day_1km,aid0001,2000-07-09,5330913.0,270.96,339.88,"(270.96,339.88)",309.1881,9.1311,83.3779,316.48,337.48,308.44,281.48,302.48
MOD11A1_006_LST_Day_1km_doy2000192_aid0001,LST_Day_1km,aid0001,2000-07-10,5479927.0,273.52,335.7,"(273.52,335.7)",308.3375,8.9782,80.6076,315.38,335.7,307.18,281.34,301.76
MOD11A1_006_LST_Day_1km_doy2000193_aid0001,LST_Day_1km,aid0001,2000-07-11,5644643.0,272.86,340.76,"(272.86,340.76)",309.5039,9.7164,94.4092,317.0,339.24,308.84,279.9,302.16
MOD11A1_006_LST_Day_1km_doy2000194_aid0001,LST_Day_1km,aid0001,2000-07-12,5674435.0,272.1,342.14,"(272.1,342.14)",309.5775,9.6157,92.4616,317.8,342.14,309.26,276.78,301.38
MOD11A1_006_LST_Day_1km_doy2000195_aid0001,LST_Day_1km,aid0001,2000-07-13,5790643.0,275.38,340.7,"(275.38,340.7)",310.0553,9.1825,84.3183,316.7,337.52,308.68,282.0,302.82
MOD11A1_006_LST_Day_1km_doy2000196_aid0001,LST_Day_1km,aid0001,2000-07-14,6180254.0,269.04,342.28,"(269.04,342.28000000000003)",309.1949,8.8812,78.8763,316.7,338.62,307.64,280.16,302.08
MOD11A1_006_LST_Day_1km_doy2000197_aid0001,LST_Day_1km,aid0001,2000-07-15,6017747.0,273.78,342.8,"(273.78000000000003,342.8)",309.2174,8.7878,77.2258,315.1,334.5,309.22,282.76,302.16
MOD11A1_006_LST_Day_1km_doy2000198_aid0001,LST_Day_1km,aid0001,2000-07-16,4682411.0,273.24,341.52,"(273.24,341.52)",309.1706,9.3329,87.1027,316.86,339.78,307.88,278.66,301.58
MOD11A1_006_LST_Day_1km_doy2000199_aid0001,LST_Day_1km,aid0001,2000-07-17,4582437.0,274.04,341.02,"(274.04,341.02)",308.8211,10.585,112.0416,317.62,341.02,307.64,274.04,300.02
MOD11A1_006_LST_Day_1km_doy2000200_aid0001,LST_Day_1km,aid0001,2000-07-18,4627231.0,274.4,341.92,"(274.40000000000003,341.92)",311.2844,9.9971,99.9417,318.86,341.4,311.24,281.22,303.8
MOD11A1_006_LST_Day_1km_doy2000201_aid0001,LST_Day_1km,aid0001,2000-07-19,5147776.0,274.02,341.72,"(274.02,341.72)",311.7716,10.1377,102.773,319.7,341.72,312.4,281.06,304.24
MOD11A1_006_LST_Day_1km_doy2000202_aid0001,LST_Day_1km,aid0001,2000-07-20,5734875.0,274.5,343.26,"(274.5,343.26)",310.4759,11.2,125.44,319.34,343.26,310.06,274.72,301.46
MOD11A1_006_LST_Day_1km_doy2000203_aid0001,LST_Day_1km,aid0001,2000-07-21,5696577.0,272.36,341.44,"(272.36,341.44)",310.3452,10.4393,108.9799,319.36,341.44,310.4,273.72,301.1
MOD11A1_006_LST_Day_1km_doy2000204_aid0001,LST_Day_1km,aid0001,2000-07-22,5484411.0,277.2,343.4,"(277.2,343.40000000000003)",310.73,10.5159,110.5834,319.28,343.4,310.36,277.2,302.38
MOD11A1_006_LST_Day_1km_doy2000205_aid0001,LST_Day_1km,aid0001,2000-07-23,5785951.0,271.84,343.48,"(271.84000000000003,343.48)",309.4357,10.0131,100.2625,318.0,343.48,309.92,275.16,300.82
MOD11A1_006_LST_Day_1km_doy2000206_aid0001,LST_Day_1km,aid0001,2000-07-24,6226981.0,274.56,341.9,"(274.56,341.90000000000003)",309.8439,9.768,95.414,317.66,341.54,308.64,277.76,301.7
MOD11A1_006_LST_Day_1km_doy2000207_aid0001,LST_Day_1km,aid0001,2000-07-25,5529244.0,275.88,342.08,"(275.88,342.08)",310.6707,10.026,100.5208,319.06,342.08,310.72,275.88,301.76
MOD11A1_006_LST_Day_1km_doy2000208_aid0001,LST_Day_1km,aid0001,2000-07-26,5973646.0,271.52,339.84,"(271.52,339.84000000000003)",310.0668,9.3174,86.8147,317.96,339.84,309.08,278.78,302.28
MOD11A1_006_LST_Day_1km_doy2000209_aid0001,LST_Day_1km,aid0001,2000-07-27,5336212.0,275.8,341.34,"(275.8,341.34000000000003)",310.568,9.3498,87.4182,318.18,341.34,309.34,279.58,302.68
