File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A1_006_LST_Day_1km_doy2002185_aid0001,LST_Day_1km,aid0001,2002-07-04,4422226.0,267.04,343.66,"(267.04,343.66)",311.7445,10.5896,112.1404,319.82,343.66,309.08,279.6,303.72
MYD11A1_006_LST_Day_1km_doy2002186_aid0001,LST_Day_1km,aid0001,2002-07-05,4855448.0,272.84,343.44,"(272.84000000000003,343.44)",309.9805,9.9285,98.5754,317.7,340.54,308.5,279.6,302.46
MYD11A1_006_LST_Day_1km_doy2002187_aid0001,LST_Day_1km,aid0001,2002-07-06,4909530.0,273.12,343.98,"(273.12,343.98)",311.3663,10.6735,113.9243,318.94,341.8,308.2,280.88,303.7
MYD11A1_006_LST_Day_1km_doy2002188_aid0001,LST_Day_1km,aid0001,2002-07-07,4954699.0,271.1,342.92,"(271.1,342.92)",311.1488,9.3761,87.9114,318.4,339.84,308.88,282.66,304.1
MYD11A1_006_LST_Day_1km_doy2002189_aid0001,LST_Day_1km,aid0001,2002-07-08,5495609.0,269.46,344.0,"(269.46,344.0)",312.3526,10.3193,106.4888,319.5,341.9,309.74,282.16,304.56
MYD11A1_006_LST_Day_1km_doy2002190_aid0001,LST_Day_1km,aid0001,2002-07-09,5390834.0,273.9,344.0,"(273.90000000000003,344.0)",314.124,10.7506,115.5751,322.46,344.0,313.3,281.22,305.9
MYD11A1_006_LST_Day_1km_doy2002191_aid0001,LST_Day_1km,aid0001,2002-07-10,4654094.0,255.48,343.98,"(255.48000000000002,343.98)",313.2559,11.5274,132.8805,323.02,343.98,312.62,274.32,303.54
MYD11A1_006_LST_Day_1km_doy2002192_aid0001,LST_Day_1km,aid0001,2002-07-11,5129541.0,272.62,344.0,"(272.62,344.0)",311.7752,11.7618,138.3411,320.4,344.0,309.98,274.8,302.14
MYD11A1_006_LST_Day_1km_doy2002193_aid0001,LST_Day_1km,aid0001,2002-07-12,5471283.0,270.8,343.98,"(270.8,343.98)",313.3571,11.5106,132.493,323.56,343.98,313.22,273.14,303.1
MYD11A1_006_LST_Day_1km_doy2002194_aid0001,LST_Day_1km,aid0001,2002-07-13,5369097.0,273.0,344.0,"(273.0,344.0)",314.3048,11.1433,124.1726,323.78,344.0,313.36,276.02,304.58
MYD11A1_006_LST_Day_1km_doy2002195_aid0001,LST_Day_1km,aid0001,2002-07-14,5425013.0,273.86,343.16,"(273.86,343.16)",312.7634,10.7878,116.3775,321.96,343.16,311.96,275.14,303.22
MYD11A1_006_LST_Day_1km_doy2002196_aid0001,LST_Day_1km,aid0001,2002-07-15,5460158.0,273.9,342.14,"(273.90000000000003,342.14)",311.0218,9.6446,93.0184,318.54,341.14,308.74,280.86,303.42
MYD11A1_006_LST_Day_1km_doy2002197_aid0001,LST_Day_1km,aid0001,2002-07-16,5230984.0,274.08,343.96,"(274.08,343.96)",312.111,10.0632,101.2686,320.94,343.96,310.32,277.5,303.56
MYD11A1_006_LST_Day_1km_doy2002198_aid0001,LST_Day_1km,aid0001,2002-07-17,4898323.0,273.52,340.04,"(273.52,340.04)",311.1881,9.7596,95.2495,319.56,340.04,308.9,279.26,303.44
MYD11A1_006_LST_Day_1km_doy2002199_aid0001,LST_Day_1km,aid0001,2002-07-18,4301024.0,272.94,343.18,"(272.94,343.18)",311.6682,9.7458,94.9797,319.58,342.48,310.06,280.96,304.12
MYD11A1_006_LST_Day_1km_doy2002200_aid0001,LST_Day_1km,aid0001,2002-07-19,4260461.0,274.84,341.72,"(274.84000000000003,341.72)",311.452,10.1105,102.2221,319.88,341.72,310.08,276.78,302.62
MYD11A1_006_LST_Day_1km_doy2002201_aid0001,LST_Day_1km,aid0001,2002-07-20,5521097.0,272.52,343.66,"(272.52,343.66)",311.5721,9.7847,95.741,318.78,340.22,309.88,283.04,304.48
MYD11A1_006_LST_Day_1km_doy2002202_aid0001,LST_Day_1km,aid0001,2002-07-21,5608376.0,260.42,342.34,"(260.42,342.34000000000003)",310.3493,9.4117,88.5801,318.18,340.86,308.88,280.4,303.06
MYD11A1_006_LST_Day_1km_doy2002203_aid0001,LST_Day_1km,aid0001,2002-07-22,4323639.0,273.84,343.92,"(273.84000000000003,343.92)",309.6981,9.8684,97.3845,315.7,335.56,307.14,282.6,302.46
